Initial Setup: num_clients=1, num_sigma_values=[5, 10, 15, 20], kappa_join_values=[0.3, 0.5, 0.8], N_r_values=[10, 20, 30]
num_sigma:15, kappa_join:0.3, N_r:10, f1_score:0.015966029723991505, precission:0.008050012845765179, recall:0.9591836734693877
num_sigma:10, kappa_join:0.8, N_r:10, f1_score:0.018704469383736953, precission:0.009443339960238568, recall:0.9693877551020408
num_sigma:10, kappa_join:0.5, N_r:10, f1_score:0.07652173913043478, precission:0.03996366939146231, recall:0.8979591836734694
num_sigma:15, kappa_join:0.3, N_r:20, f1_score:0.07804878048780489, precission:0.04079740380157627, recall:0.8979591836734694
num_sigma:10, kappa_join:0.3, N_r:10, f1_score:0.059582919563058584, precission:0.030790283954840916, recall:0.9183673469387755
num_sigma:10, kappa_join:0.8, N_r:20, f1_score:0.09601873536299767, precission:0.05093167701863354, recall:0.8367346938775511
num_sigma:10, kappa_join:0.5, N_r:20, f1_score:0.09071729957805907, precission:0.047830923248053395, recall:0.8775510204081632
num_sigma:15, kappa_join:0.5, N_r:10, f1_score:0.017948233515964484, precission:0.009057971014492754, recall:0.9693877551020408
num_sigma:10, kappa_join:0.3, N_r:20, f1_score:0.05021897810218978, precission:0.025849113315299068, recall:0.8775510204081632
num_sigma:10, kappa_join:0.8, N_r:30, f1_score:0.06368460955269144, precission:0.03307086614173228, recall:0.8571428571428571
num_sigma:15, kappa_join:0.8, N_r:10, f1_score:0.01959353830119854, precission:0.009897862482889333, recall:0.9591836734693877
num_sigma:10, kappa_join:0.5, N_r:30, f1_score:0.04438709677419355, precission:0.022769393698702674, recall:0.8775510204081632
num_sigma:5, kappa_join:0.3, N_r:30, f1_score:0.03208556149732621, precission:0.016338028169014085, recall:0.8877551020408163
num_sigma:10, kappa_join:0.3, N_r:30, f1_score:0.024314390726604466, precission:0.012327981651376147, recall:0.8775510204081632
num_sigma:5, kappa_join:0.5, N_r:10, f1_score:0.02644119907763259, precission:0.013422818791946308, recall:0.8775510204081632
num_sigma:5, kappa_join:0.8, N_r:30, f1_score:0.03132877205617573, precission:0.01594574780058651, recall:0.8877551020408163
num_sigma:5, kappa_join:0.5, N_r:30, f1_score:0.03132877205617573, precission:0.01594574780058651, recall:0.8877551020408163
num_sigma:15, kappa_join:0.5, N_r:20, f1_score:0.02221149203283438, precission:0.011238700219887612, recall:0.9387755102040817
num_sigma:5, kappa_join:0.5, N_r:20, f1_score:0.03235403495723317, precission:0.016477272727272726, recall:0.8877551020408163
num_sigma:5, kappa_join:0.3, N_r:10, f1_score:0.026925485284909203, precission:0.013672496025437202, recall:0.8775510204081632
num_sigma:5, kappa_join:0.3, N_r:20, f1_score:0.03238414293690676, precission:0.016492890995260665, recall:0.8877551020408163
num_sigma:5, kappa_join:0.8, N_r:10, f1_score:0.026588344411810173, precission:0.013498665829540103, recall:0.8775510204081632
num_sigma:5, kappa_join:0.8, N_r:20, f1_score:0.03235403495723317, precission:0.016477272727272726, recall:0.8877551020408163
num_sigma:15, kappa_join:0.3, N_r:30, f1_score:0.07258064516129033, precission:0.037783375314861464, recall:0.9183673469387755
num_sigma:15, kappa_join:0.5, N_r:30, f1_score:0.0818014705882353, precission:0.04282964388835419, recall:0.9081632653061225
num_sigma:15, kappa_join:0.8, N_r:20, f1_score:0.02561307901907357, precission:0.012979839823253245, recall:0.9591836734693877
num_sigma:20, kappa_join:0.3, N_r:10, f1_score:0.015374861309240765, precission:0.0077476038338658145, recall:0.9897959183673469
num_sigma:20, kappa_join:0.5, N_r:10, f1_score:0.016526109549365363, precission:0.008332617472725712, recall:0.9897959183673469
num_sigma:20, kappa_join:0.8, N_r:10, f1_score:0.017192484934420417, precission:0.008671553727874128, recall:0.9897959183673469
num_sigma:20, kappa_join:0.3, N_r:20, f1_score:0.02290748898678414, precission:0.01159678858162355, recall:0.9285714285714286
num_sigma:15, kappa_join:0.8, N_r:30, f1_score:0.053475935828877004, precission:0.027539779681762546, recall:0.9183673469387755
num_sigma:20, kappa_join:0.5, N_r:20, f1_score:0.013825220112057047, precission:0.006962257237083181, recall:0.9693877551020408
num_sigma:20, kappa_join:0.8, N_r:20, f1_score:0.01278380717757507, precission:0.006433885128342604, recall:0.9795918367346939
num_sigma:20, kappa_join:0.3, N_r:30, f1_score:0.08532249873031997, precission:0.04489577765900588, recall:0.8571428571428571
num_sigma:20, kappa_join:0.5, N_r:30, f1_score:0.020727673649393603, precission:0.010477039679001338, recall:0.9591836734693877
num_sigma:20, kappa_join:0.8, N_r:30, f1_score:0.015415495784825371, precission:0.007768875940762321, recall:0.9795918367346939
Round 1: Metrics: {'accuracy': 0.9828833257259225, 'precision': 0.0721951219512195, 'recall': 0.7551020408163265, 'f1_score': 0.13178984861976847}, ROC AUC: 0.9502393106933263

Round 3: Metrics: {'accuracy': 0.9857448825532812, 'precision': 0.09339407744874716, 'recall': 0.8367346938775511, 'f1_score': 0.1680327868852459}, ROC AUC: 0.8790034654829855

Round 1: Metrics: {'accuracy': 0.9933815526140234, 'precision': 0.18077803203661327, 'recall': 0.8061224489795918, 'f1_score': 0.2953271028037383}, ROC AUC: 0.9234381639543832

Round 2: Metrics: {'accuracy': 0.9919595519820231, 'precision': 0.1525096525096525, 'recall': 0.8061224489795918, 'f1_score': 0.2564935064935065}, ROC AUC: 0.8815885808459567

Round 3: Metrics: {'accuracy': 0.9857448825532812, 'precision': 0.09339407744874716, 'recall': 0.8367346938775511, 'f1_score': 0.1680327868852459}, ROC AUC: 0.8790034654829855

Round 4: Metrics: {'accuracy': 0.9882202169867631, 'precision': 0.1112618724559023, 'recall': 0.8367346938775511, 'f1_score': 0.19640718562874254}, ROC AUC: 0.8734373743870085

Round 1: Metrics: {'accuracy': 0.9933815526140234, 'precision': 0.18077803203661327, 'recall': 0.8061224489795918, 'f1_score': 0.2953271028037383}, ROC AUC: 0.9234381639543832

Round 2: Metrics: {'accuracy': 0.9919595519820231, 'precision': 0.1525096525096525, 'recall': 0.8061224489795918, 'f1_score': 0.2564935064935065}, ROC AUC: 0.8815885808459567

Round 3: Metrics: {'accuracy': 0.9857448825532812, 'precision': 0.09339407744874716, 'recall': 0.8367346938775511, 'f1_score': 0.1680327868852459}, ROC AUC: 0.8790034654829855

Round 4: Metrics: {'accuracy': 0.9882202169867631, 'precision': 0.1112618724559023, 'recall': 0.8367346938775511, 'f1_score': 0.19640718562874254}, ROC AUC: 0.8734373743870085

Round 5: Metrics: {'accuracy': 0.9895719953653312, 'precision': 0.12537764350453173, 'recall': 0.8469387755102041, 'f1_score': 0.21842105263157896}, ROC AUC: 0.8732959700481205

Round 1: Metrics: {'accuracy': 0.9777219900986622, 'precision': 0.06403574087862993, 'recall': 0.8775510204081632, 'f1_score': 0.11936155447605828}, ROC AUC: 0.9531729123838619

Round 1: Metrics: {'accuracy': 0.9777219900986622, 'precision': 0.06403574087862993, 'recall': 0.8775510204081632, 'f1_score': 0.11936155447605828}, ROC AUC: 0.9531729123838619

Round 2: Metrics: {'accuracy': 0.9677153189845862, 'precision': 0.04685059864653826, 'recall': 0.9183673469387755, 'f1_score': 0.08915304606240712}, ROC AUC: 0.928360129575184

Round 1: Metrics: {'accuracy': 0.9777219900986622, 'precision': 0.06403574087862993, 'recall': 0.8775510204081632, 'f1_score': 0.11936155447605828}, ROC AUC: 0.9531729123838619

Round 2: Metrics: {'accuracy': 0.9677153189845862, 'precision': 0.04685059864653826, 'recall': 0.9183673469387755, 'f1_score': 0.08915304606240712}, ROC AUC: 0.928360129575184

Round 3: Metrics: {'accuracy': 0.9605175380077947, 'precision': 0.03861003861003861, 'recall': 0.9183673469387755, 'f1_score': 0.0741045697818032}, ROC AUC: 0.9324166216852525

Round 1: Metrics: {'accuracy': 0.9777219900986622, 'precision': 0.06403574087862993, 'recall': 0.8775510204081632, 'f1_score': 0.11936155447605828}, ROC AUC: 0.9531729123838619

Round 2: Metrics: {'accuracy': 0.9677153189845862, 'precision': 0.04685059864653826, 'recall': 0.9183673469387755, 'f1_score': 0.08915304606240712}, ROC AUC: 0.928360129575184

Round 3: Metrics: {'accuracy': 0.9605175380077947, 'precision': 0.03861003861003861, 'recall': 0.9183673469387755, 'f1_score': 0.0741045697818032}, ROC AUC: 0.9324166216852525

Round 4: Metrics: {'accuracy': 0.950791755907447, 'precision': 0.03152060962937305, 'recall': 0.9285714285714286, 'f1_score': 0.0609715242881072}, ROC AUC: 0.9515623743870085

Round 1: Metrics: {'accuracy': 0.9777219900986622, 'precision': 0.06403574087862993, 'recall': 0.8775510204081632, 'f1_score': 0.11936155447605828}, ROC AUC: 0.9531729123838619

Round 2: Metrics: {'accuracy': 0.9677153189845862, 'precision': 0.04685059864653826, 'recall': 0.9183673469387755, 'f1_score': 0.08915304606240712}, ROC AUC: 0.928360129575184

Round 3: Metrics: {'accuracy': 0.9605175380077947, 'precision': 0.03861003861003861, 'recall': 0.9183673469387755, 'f1_score': 0.0741045697818032}, ROC AUC: 0.9324166216852525

Round 4: Metrics: {'accuracy': 0.950791755907447, 'precision': 0.03152060962937305, 'recall': 0.9285714285714286, 'f1_score': 0.0609715242881072}, ROC AUC: 0.9515623743870085

Round 5: Metrics: {'accuracy': 0.949527755345669, 'precision': 0.03138710766115423, 'recall': 0.9489795918367347, 'f1_score': 0.06076445606011107}, ROC AUC: 0.9637046644769331

Round 1: Metrics: {'accuracy': 0.9908711070538253, 'precision': 0.1386986301369863, 'recall': 0.826530612244898, 'f1_score': 0.2375366568914956}, ROC AUC: 0.9592722306283233

Round 1: Metrics: {'accuracy': 0.9908711070538253, 'precision': 0.1386986301369863, 'recall': 0.826530612244898, 'f1_score': 0.2375366568914956}, ROC AUC: 0.9592722306283233

Round 2: Metrics: {'accuracy': 0.9911168849408377, 'precision': 0.1445993031358885, 'recall': 0.8469387755102041, 'f1_score': 0.24702380952380953}, ROC AUC: 0.9699060881386883

Round 1: Metrics: {'accuracy': 0.9908711070538253, 'precision': 0.1386986301369863, 'recall': 0.826530612244898, 'f1_score': 0.2375366568914956}, ROC AUC: 0.9592722306283233

Round 2: Metrics: {'accuracy': 0.9911168849408377, 'precision': 0.1445993031358885, 'recall': 0.8469387755102041, 'f1_score': 0.24702380952380953}, ROC AUC: 0.9699060881386883

Round 3: Metrics: {'accuracy': 0.995611109160493, 'precision': 0.25, 'recall': 0.7755102040816326, 'f1_score': 0.3781094527363184}, ROC AUC: 0.9625928997794952

Round 1: Metrics: {'accuracy': 0.9908711070538253, 'precision': 0.1386986301369863, 'recall': 0.826530612244898, 'f1_score': 0.2375366568914956}, ROC AUC: 0.9592722306283233

Round 2: Metrics: {'accuracy': 0.9911168849408377, 'precision': 0.1445993031358885, 'recall': 0.8469387755102041, 'f1_score': 0.24702380952380953}, ROC AUC: 0.9699060881386883

Round 3: Metrics: {'accuracy': 0.995611109160493, 'precision': 0.25, 'recall': 0.7755102040816326, 'f1_score': 0.3781094527363184}, ROC AUC: 0.9625928997794952

Round 4: Metrics: {'accuracy': 0.9969628875390611, 'precision': 0.33624454148471616, 'recall': 0.7857142857142857, 'f1_score': 0.4709480122324159}, ROC AUC: 0.9614373499821989

Round 1: Metrics: {'accuracy': 0.9908711070538253, 'precision': 0.1386986301369863, 'recall': 0.826530612244898, 'f1_score': 0.2375366568914956}, ROC AUC: 0.9592722306283233

Round 2: Metrics: {'accuracy': 0.9911168849408377, 'precision': 0.1445993031358885, 'recall': 0.8469387755102041, 'f1_score': 0.24702380952380953}, ROC AUC: 0.9699060881386883

Round 3: Metrics: {'accuracy': 0.995611109160493, 'precision': 0.25, 'recall': 0.7755102040816326, 'f1_score': 0.3781094527363184}, ROC AUC: 0.9625928997794952

Round 4: Metrics: {'accuracy': 0.9969628875390611, 'precision': 0.33624454148471616, 'recall': 0.7857142857142857, 'f1_score': 0.4709480122324159}, ROC AUC: 0.9614373499821989

Round 5: Metrics: {'accuracy': 0.9973315543695798, 'precision': 0.37264150943396224, 'recall': 0.8061224489795918, 'f1_score': 0.5096774193548387}, ROC AUC: 0.9612936128306134

Round 1: Metrics: {'accuracy': 0.9904673290965907, 'precision': 0.13344316309719934, 'recall': 0.826530612244898, 'f1_score': 0.22978723404255316}, ROC AUC: 0.9231822723461923

Round 1: Metrics: {'accuracy': 0.9904673290965907, 'precision': 0.13344316309719934, 'recall': 0.826530612244898, 'f1_score': 0.22978723404255316}, ROC AUC: 0.9231822723461923

Round 2: Metrics: {'accuracy': 0.9922404409957516, 'precision': 0.16536964980544747, 'recall': 0.8673469387755102, 'f1_score': 0.27777777777777773}, ROC AUC: 0.894370151338532

Round 1: Metrics: {'accuracy': 0.9904673290965907, 'precision': 0.13344316309719934, 'recall': 0.826530612244898, 'f1_score': 0.22978723404255316}, ROC AUC: 0.9231822723461923

Round 2: Metrics: {'accuracy': 0.9922404409957516, 'precision': 0.16536964980544747, 'recall': 0.8673469387755102, 'f1_score': 0.27777777777777773}, ROC AUC: 0.894370151338532

Round 3: Metrics: {'accuracy': 0.9598153154734735, 'precision': 0.0375685943436049, 'recall': 0.9081632653061225, 'f1_score': 0.07215241183623836}, ROC AUC: 0.8996484092370769

Round 1: Metrics: {'accuracy': 0.9904673290965907, 'precision': 0.13344316309719934, 'recall': 0.826530612244898, 'f1_score': 0.22978723404255316}, ROC AUC: 0.9231822723461923

Round 2: Metrics: {'accuracy': 0.9922404409957516, 'precision': 0.16536964980544747, 'recall': 0.8673469387755102, 'f1_score': 0.27777777777777773}, ROC AUC: 0.894370151338532

Round 3: Metrics: {'accuracy': 0.9598153154734735, 'precision': 0.0375685943436049, 'recall': 0.9081632653061225, 'f1_score': 0.07215241183623836}, ROC AUC: 0.8996484092370769

Round 4: Metrics: {'accuracy': 0.9534426459745093, 'precision': 0.03257686676427526, 'recall': 0.9081632653061225, 'f1_score': 0.06289752650176679}, ROC AUC: 0.9262596111883133

Round 1: Metrics: {'accuracy': 0.9904673290965907, 'precision': 0.13344316309719934, 'recall': 0.826530612244898, 'f1_score': 0.22978723404255316}, ROC AUC: 0.9231822723461923

Round 2: Metrics: {'accuracy': 0.9922404409957516, 'precision': 0.16536964980544747, 'recall': 0.8673469387755102, 'f1_score': 0.27777777777777773}, ROC AUC: 0.894370151338532

Round 3: Metrics: {'accuracy': 0.9598153154734735, 'precision': 0.0375685943436049, 'recall': 0.9081632653061225, 'f1_score': 0.07215241183623836}, ROC AUC: 0.8996484092370769

Round 4: Metrics: {'accuracy': 0.9534426459745093, 'precision': 0.03257686676427526, 'recall': 0.9081632653061225, 'f1_score': 0.06289752650176679}, ROC AUC: 0.9262596111883133

Round 5: Metrics: {'accuracy': 0.9498788666128296, 'precision': 0.030323679727427597, 'recall': 0.9081632653061225, 'f1_score': 0.05868776788658094}, ROC AUC: 0.9393443576079841

Round 1: Metrics: {'accuracy': 0.985604438046417, 'precision': 0.08977272727272727, 'recall': 0.8061224489795918, 'f1_score': 0.16155419222903883}, ROC AUC: 0.954375028711541

Round 1: Metrics: {'accuracy': 0.985604438046417, 'precision': 0.08977272727272727, 'recall': 0.8061224489795918, 'f1_score': 0.16155419222903883}, ROC AUC: 0.954375028711541

Round 2: Metrics: {'accuracy': 0.9872019943119975, 'precision': 0.10314465408805032, 'recall': 0.8367346938775511, 'f1_score': 0.1836506159014558}, ROC AUC: 0.9332698927911063

Round 1: Metrics: {'accuracy': 0.985604438046417, 'precision': 0.08977272727272727, 'recall': 0.8061224489795918, 'f1_score': 0.16155419222903883}, ROC AUC: 0.954375028711541

Round 2: Metrics: {'accuracy': 0.9872019943119975, 'precision': 0.10314465408805032, 'recall': 0.8367346938775511, 'f1_score': 0.1836506159014558}, ROC AUC: 0.9332698927911063

Round 3: Metrics: {'accuracy': 0.9900635511393561, 'precision': 0.12974683544303797, 'recall': 0.8367346938775511, 'f1_score': 0.22465753424657534}, ROC AUC: 0.9254668137654612

Round 1: Metrics: {'accuracy': 0.985604438046417, 'precision': 0.08977272727272727, 'recall': 0.8061224489795918, 'f1_score': 0.16155419222903883}, ROC AUC: 0.954375028711541

Round 2: Metrics: {'accuracy': 0.9872019943119975, 'precision': 0.10314465408805032, 'recall': 0.8367346938775511, 'f1_score': 0.1836506159014558}, ROC AUC: 0.9332698927911063

Round 3: Metrics: {'accuracy': 0.9900635511393561, 'precision': 0.12974683544303797, 'recall': 0.8367346938775511, 'f1_score': 0.22465753424657534}, ROC AUC: 0.9254668137654612

Round 4: Metrics: {'accuracy': 0.9924335521926899, 'precision': 0.16363636363636364, 'recall': 0.826530612244898, 'f1_score': 0.27318718381112983}, ROC AUC: 0.8984139027023302

Round 1: Metrics: {'accuracy': 0.985604438046417, 'precision': 0.08977272727272727, 'recall': 0.8061224489795918, 'f1_score': 0.16155419222903883}, ROC AUC: 0.954375028711541

Round 2: Metrics: {'accuracy': 0.9872019943119975, 'precision': 0.10314465408805032, 'recall': 0.8367346938775511, 'f1_score': 0.1836506159014558}, ROC AUC: 0.9332698927911063

Round 3: Metrics: {'accuracy': 0.9900635511393561, 'precision': 0.12974683544303797, 'recall': 0.8367346938775511, 'f1_score': 0.22465753424657534}, ROC AUC: 0.9254668137654612

Round 4: Metrics: {'accuracy': 0.9924335521926899, 'precision': 0.16363636363636364, 'recall': 0.826530612244898, 'f1_score': 0.27318718381112983}, ROC AUC: 0.8984139027023302

Round 5: Metrics: {'accuracy': 0.9944699975422211, 'precision': 0.21818181818181817, 'recall': 0.8571428571428571, 'f1_score': 0.34782608695652173}, ROC AUC: 0.9293552536377523

Round 1: Metrics: {'accuracy': 0.9886239949439978, 'precision': 0.11376404494382023, 'recall': 0.826530612244898, 'f1_score': 0.19999999999999998}, ROC AUC: 0.9683149304319364

Round 1: Metrics: {'accuracy': 0.9886239949439978, 'precision': 0.11376404494382023, 'recall': 0.826530612244898, 'f1_score': 0.19999999999999998}, ROC AUC: 0.9683149304319364

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11671469740634005, 'recall': 0.826530612244898, 'f1_score': 0.2045454545454545}, ROC AUC: 0.9815497843763279

Round 1: Metrics: {'accuracy': 0.9886239949439978, 'precision': 0.11376404494382023, 'recall': 0.826530612244898, 'f1_score': 0.19999999999999998}, ROC AUC: 0.9683149304319364

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11671469740634005, 'recall': 0.826530612244898, 'f1_score': 0.2045454545454545}, ROC AUC: 0.9815497843763279

Round 3: Metrics: {'accuracy': 0.9961026649345177, 'precision': 0.26865671641791045, 'recall': 0.7346938775510204, 'f1_score': 0.39344262295081966}, ROC AUC: 0.9545797778875196

Round 1: Metrics: {'accuracy': 0.9886239949439978, 'precision': 0.11376404494382023, 'recall': 0.826530612244898, 'f1_score': 0.19999999999999998}, ROC AUC: 0.9683149304319364

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11671469740634005, 'recall': 0.826530612244898, 'f1_score': 0.2045454545454545}, ROC AUC: 0.9815497843763279

Round 3: Metrics: {'accuracy': 0.9961026649345177, 'precision': 0.26865671641791045, 'recall': 0.7346938775510204, 'f1_score': 0.39344262295081966}, ROC AUC: 0.9545797778875196

Round 4: Metrics: {'accuracy': 0.9969628875390611, 'precision': 0.32558139534883723, 'recall': 0.7142857142857143, 'f1_score': 0.44728434504792336}, ROC AUC: 0.927683524169375

Round 1: Metrics: {'accuracy': 0.9886239949439978, 'precision': 0.11376404494382023, 'recall': 0.826530612244898, 'f1_score': 0.19999999999999998}, ROC AUC: 0.9683149304319364

Round 2: Metrics: {'accuracy': 0.9889399950844423, 'precision': 0.11671469740634005, 'recall': 0.826530612244898, 'f1_score': 0.2045454545454545}, ROC AUC: 0.9815497843763279

Round 3: Metrics: {'accuracy': 0.9961026649345177, 'precision': 0.26865671641791045, 'recall': 0.7346938775510204, 'f1_score': 0.39344262295081966}, ROC AUC: 0.9545797778875196

Round 4: Metrics: {'accuracy': 0.9969628875390611, 'precision': 0.32558139534883723, 'recall': 0.7142857142857143, 'f1_score': 0.44728434504792336}, ROC AUC: 0.927683524169375

Round 5: Metrics: {'accuracy': 0.9972086654260736, 'precision': 0.3497536945812808, 'recall': 0.7244897959183674, 'f1_score': 0.47176079734219273}, ROC AUC: 0.932898975572221

Round 1: Metrics: {'accuracy': 0.9859379937502194, 'precision': 0.09364161849710982, 'recall': 0.826530612244898, 'f1_score': 0.16822429906542055}, ROC AUC: 0.951386426475486

Round 1: Metrics: {'accuracy': 0.9859379937502194, 'precision': 0.09364161849710982, 'recall': 0.826530612244898, 'f1_score': 0.16822429906542055}, ROC AUC: 0.951386426475486

Round 2: Metrics: {'accuracy': 0.9915733295881465, 'precision': 0.1488970588235294, 'recall': 0.826530612244898, 'f1_score': 0.2523364485981308}, ROC AUC: 0.9076130804037992

Round 1: Metrics: {'accuracy': 0.9859379937502194, 'precision': 0.09364161849710982, 'recall': 0.826530612244898, 'f1_score': 0.16822429906542055}, ROC AUC: 0.951386426475486

Round 2: Metrics: {'accuracy': 0.9915733295881465, 'precision': 0.1488970588235294, 'recall': 0.826530612244898, 'f1_score': 0.2523364485981308}, ROC AUC: 0.9076130804037992

Round 3: Metrics: {'accuracy': 0.9878339945928865, 'precision': 0.10700132100396301, 'recall': 0.826530612244898, 'f1_score': 0.18947368421052632}, ROC AUC: 0.8987045173302861

Round 1: Metrics: {'accuracy': 0.9859379937502194, 'precision': 0.09364161849710982, 'recall': 0.826530612244898, 'f1_score': 0.16822429906542055}, ROC AUC: 0.951386426475486

Round 2: Metrics: {'accuracy': 0.9915733295881465, 'precision': 0.1488970588235294, 'recall': 0.826530612244898, 'f1_score': 0.2523364485981308}, ROC AUC: 0.9076130804037992

Round 3: Metrics: {'accuracy': 0.9878339945928865, 'precision': 0.10700132100396301, 'recall': 0.826530612244898, 'f1_score': 0.18947368421052632}, ROC AUC: 0.8987045173302861

Round 4: Metrics: {'accuracy': 0.9898879955057758, 'precision': 0.1277258566978193, 'recall': 0.8367346938775511, 'f1_score': 0.2216216216216216}, ROC AUC: 0.9087768847691018

Round 1: Metrics: {'accuracy': 0.9859379937502194, 'precision': 0.09364161849710982, 'recall': 0.826530612244898, 'f1_score': 0.16822429906542055}, ROC AUC: 0.951386426475486

Round 2: Metrics: {'accuracy': 0.9915733295881465, 'precision': 0.1488970588235294, 'recall': 0.826530612244898, 'f1_score': 0.2523364485981308}, ROC AUC: 0.9076130804037992

Round 3: Metrics: {'accuracy': 0.9878339945928865, 'precision': 0.10700132100396301, 'recall': 0.826530612244898, 'f1_score': 0.18947368421052632}, ROC AUC: 0.8987045173302861

Round 4: Metrics: {'accuracy': 0.9898879955057758, 'precision': 0.1277258566978193, 'recall': 0.8367346938775511, 'f1_score': 0.2216216216216216}, ROC AUC: 0.9087768847691018

Round 5: Metrics: {'accuracy': 0.9859906604402935, 'precision': 0.09862385321100918, 'recall': 0.8775510204081632, 'f1_score': 0.177319587628866}, ROC AUC: 0.9159315315884372

Round 1: Metrics: {'accuracy': 0.9839191039640462, 'precision': 0.07835051546391752, 'recall': 0.7755102040816326, 'f1_score': 0.14232209737827717}, ROC AUC: 0.9379774190908778

Round 1: Metrics: {'accuracy': 0.9839191039640462, 'precision': 0.07835051546391752, 'recall': 0.7755102040816326, 'f1_score': 0.14232209737827717}, ROC AUC: 0.9379774190908778

Round 2: Metrics: {'accuracy': 0.9870088831150592, 'precision': 0.10074626865671642, 'recall': 0.826530612244898, 'f1_score': 0.1796008869179601}, ROC AUC: 0.9286728162001998

Round 1: Metrics: {'accuracy': 0.9839191039640462, 'precision': 0.07835051546391752, 'recall': 0.7755102040816326, 'f1_score': 0.14232209737827717}, ROC AUC: 0.9379774190908778

Round 2: Metrics: {'accuracy': 0.9870088831150592, 'precision': 0.10074626865671642, 'recall': 0.826530612244898, 'f1_score': 0.1796008869179601}, ROC AUC: 0.9286728162001998

Round 3: Metrics: {'accuracy': 0.9896071064920473, 'precision': 0.12347560975609756, 'recall': 0.826530612244898, 'f1_score': 0.21485411140583555}, ROC AUC: 0.9065623277307546

Round 1: Metrics: {'accuracy': 0.9839191039640462, 'precision': 0.07835051546391752, 'recall': 0.7755102040816326, 'f1_score': 0.14232209737827717}, ROC AUC: 0.9379774190908778

Round 2: Metrics: {'accuracy': 0.9870088831150592, 'precision': 0.10074626865671642, 'recall': 0.826530612244898, 'f1_score': 0.1796008869179601}, ROC AUC: 0.9286728162001998

Round 3: Metrics: {'accuracy': 0.9896071064920473, 'precision': 0.12347560975609756, 'recall': 0.826530612244898, 'f1_score': 0.21485411140583555}, ROC AUC: 0.9065623277307546

Round 4: Metrics: {'accuracy': 0.9917488852217268, 'precision': 0.14638783269961977, 'recall': 0.7857142857142857, 'f1_score': 0.2467948717948718}, ROC AUC: 0.9088927178918838

Round 1: Metrics: {'accuracy': 0.9839191039640462, 'precision': 0.07835051546391752, 'recall': 0.7755102040816326, 'f1_score': 0.14232209737827717}, ROC AUC: 0.9379774190908778

Round 2: Metrics: {'accuracy': 0.9870088831150592, 'precision': 0.10074626865671642, 'recall': 0.826530612244898, 'f1_score': 0.1796008869179601}, ROC AUC: 0.9286728162001998

Round 3: Metrics: {'accuracy': 0.9896071064920473, 'precision': 0.12347560975609756, 'recall': 0.826530612244898, 'f1_score': 0.21485411140583555}, ROC AUC: 0.9065623277307546

Round 4: Metrics: {'accuracy': 0.9917488852217268, 'precision': 0.14638783269961977, 'recall': 0.7857142857142857, 'f1_score': 0.2467948717948718}, ROC AUC: 0.9088927178918838

Round 5: Metrics: {'accuracy': 0.991854218601875, 'precision': 0.15076335877862596, 'recall': 0.8061224489795918, 'f1_score': 0.25401929260450157}, ROC AUC: 0.9025545555166354

Round 1: Metrics: {'accuracy': 0.9635897615954496, 'precision': 0.036585365853658534, 'recall': 0.7959183673469388, 'f1_score': 0.06995515695067264}, ROC AUC: 0.9655226433567238

Round 1: Metrics: {'accuracy': 0.9635897615954496, 'precision': 0.036585365853658534, 'recall': 0.7959183673469388, 'f1_score': 0.06995515695067264}, ROC AUC: 0.9655226433567238

Round 2: Metrics: {'accuracy': 0.991889329728591, 'precision': 0.15134099616858238, 'recall': 0.8061224489795918, 'f1_score': 0.25483870967741934}, ROC AUC: 0.9728658891102868

Round 1: Metrics: {'accuracy': 0.9635897615954496, 'precision': 0.036585365853658534, 'recall': 0.7959183673469388, 'f1_score': 0.06995515695067264}, ROC AUC: 0.9655226433567238

Round 2: Metrics: {'accuracy': 0.991889329728591, 'precision': 0.15134099616858238, 'recall': 0.8061224489795918, 'f1_score': 0.25483870967741934}, ROC AUC: 0.9728658891102868

Round 3: Metrics: {'accuracy': 0.996243109441382, 'precision': 0.2867647058823529, 'recall': 0.7959183673469388, 'f1_score': 0.42162162162162153}, ROC AUC: 0.9542837798456467

Round 1: Metrics: {'accuracy': 0.9635897615954496, 'precision': 0.036585365853658534, 'recall': 0.7959183673469388, 'f1_score': 0.06995515695067264}, ROC AUC: 0.9655226433567238

Round 2: Metrics: {'accuracy': 0.991889329728591, 'precision': 0.15134099616858238, 'recall': 0.8061224489795918, 'f1_score': 0.25483870967741934}, ROC AUC: 0.9728658891102868

Round 3: Metrics: {'accuracy': 0.996243109441382, 'precision': 0.2867647058823529, 'recall': 0.7959183673469388, 'f1_score': 0.42162162162162153}, ROC AUC: 0.9542837798456467

Round 4: Metrics: {'accuracy': 0.9954531090902707, 'precision': 0.24115755627009647, 'recall': 0.7653061224489796, 'f1_score': 0.36674816625916873}, ROC AUC: 0.9425517956197673

